16:29:31:080	C:\Users\christopherf\AppData\Local\TechSmith\SnagIt\DataStore
16:29:31:344	Layout
16:29:46:158	System.Windows.Data Error: 2 : Cannot find governing FrameworkElement or FrameworkContentElement for target element. BindingExpression:Path=DataTypeString; DataItem=null; target element is 'DataGridComboBoxColumn' (HashCode=56478042); target property is 'DisplayMemberPath' (type 'String')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=42759282)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=42759282); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=42759282)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=42759282); target element is 'Image' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=42759282)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=42759282); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=19867487)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=19867487); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=19867487)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=19867487); target element is 'Image' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=19867487)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=19867487); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=4323748)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=4323748); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=4323748)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=4323748); target element is 'Image' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=4323748)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=4323748); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=47821519)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=47821519); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=47821519)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=47821519); target element is 'Image' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=47821519)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=47821519); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=25056856)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=25056856); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
